icon_name,url,saved_path
badger,https://files.svgcdn.io/fluent-emoji-high-contrast/badger.svg,animals_icons/badger_5.svg
badger,https://files.svgcdn.io/fluent-emoji-flat/badger.svg,animals_icons/badger_6.svg
bat,https://files.svgcdn.io/twemoji/bat.svg,animals_icons/bat_5.svg
bat,https://files.svgcdn.io/openmoji/bat.svg,animals_icons/bat_6.svg
bat,https://files.svgcdn.io/noto/bat.svg,animals_icons/bat_7.svg
bat,https://files.svgcdn.io/noto-v1/bat.svg,animals_icons/bat_8.svg
bat,https://files.svgcdn.io/fluent-emoji/bat.svg,animals_icons/bat_9.svg
bat,https://files.svgcdn.io/fluent-emoji-high-contrast/bat.svg,animals_icons/bat_10.svg
bat,https://files.svgcdn.io/fluent-emoji-flat/bat.svg,animals_icons/bat_11.svg
bear,https://files.svgcdn.io/twemoji/bear.svg,animals_icons/bear_5.svg
bear,https://files.svgcdn.io/openmoji/bear.svg,animals_icons/bear_6.svg
bear,https://files.svgcdn.io/noto/bear.svg,animals_icons/bear_7.svg
bear,https://files.svgcdn.io/noto-v1/bear.svg,animals_icons/bear_8.svg
bear,https://files.svgcdn.io/fluent-emoji/bear.svg,animals_icons/bear_9.svg
bear,https://files.svgcdn.io/fluent-emoji-high-contrast/bear.svg,animals_icons/bear_10.svg
bear,https://files.svgcdn.io/fluent-emoji-flat/bear.svg,animals_icons/bear_11.svg
bear-face,https://files.svgcdn.io/streamline-emojis/bear-face.svg,animals_icons/bear-face.svg
beaver,https://files.svgcdn.io/twemoji/beaver.svg,animals_icons/beaver.svg
beaver,https://files.svgcdn.io/openmoji/beaver.svg,animals_icons/beaver_2.svg
beaver,https://files.svgcdn.io/noto/beaver.svg,animals_icons/beaver_3.svg
beaver,https://files.svgcdn.io/fluent-emoji/beaver.svg,animals_icons/beaver_4.svg
beaver,https://files.svgcdn.io/fluent-emoji-high-contrast/beaver.svg,animals_icons/beaver_5.svg
beaver,https://files.svgcdn.io/fluent-emoji-flat/beaver.svg,animals_icons/beaver_6.svg
beetle,https://files.svgcdn.io/twemoji/beetle.svg,animals_icons/beetle.svg
beetle,https://files.svgcdn.io/openmoji/beetle.svg,animals_icons/beetle_2.svg
beetle,https://files.svgcdn.io/noto/beetle.svg,animals_icons/beetle_3.svg
beetle,https://files.svgcdn.io/fluent-emoji/beetle.svg,animals_icons/beetle_4.svg
beetle,https://files.svgcdn.io/fluent-emoji-high-contrast/beetle.svg,animals_icons/beetle_5.svg
beetle,https://files.svgcdn.io/fluent-emoji-flat/beetle.svg,animals_icons/beetle_6.svg
bird,https://files.svgcdn.io/twemoji/bird.svg,animals_icons/bird_5.svg
bird,https://files.svgcdn.io/openmoji/bird.svg,animals_icons/bird_6.svg
bird,https://files.svgcdn.io/noto/bird.svg,animals_icons/bird_7.svg
bird,https://files.svgcdn.io/noto-v1/bird.svg,animals_icons/bird_8.svg
bird,https://files.svgcdn.io/fluent-emoji/bird.svg,animals_icons/bird_9.svg
bird,https://files.svgcdn.io/fluent-emoji-high-contrast/bird.svg,animals_icons/bird_10.svg
bird,https://files.svgcdn.io/fluent-emoji-flat/bird.svg,animals_icons/bird_11.svg
bird-1,https://files.svgcdn.io/streamline-emojis/bird-1.svg,animals_icons/bird-1.svg
bird-2,https://files.svgcdn.io/streamline-emojis/bird-2.svg,animals_icons/bird-2.svg
bison,https://files.svgcdn.io/twemoji/bison.svg,animals_icons/bison.svg
bison,https://files.svgcdn.io/openmoji/bison.svg,animals_icons/bison_2.svg
bison,https://files.svgcdn.io/noto/bison.svg,animals_icons/bison_3.svg
bison,https://files.svgcdn.io/fluent-emoji/bison.svg,animals_icons/bison_4.svg
bison,https://files.svgcdn.io/fluent-emoji-high-contrast/bison.svg,animals_icons/bison_5.svg
bison,https://files.svgcdn.io/fluent-emoji-flat/bison.svg,animals_icons/bison_6.svg
black-bird,https://files.svgcdn.io/openmoji/black-bird.svg,animals_icons/black-bird.svg
black-bird,https://files.svgcdn.io/noto/black-bird.svg,animals_icons/black-bird_2.svg
black-cat,https://files.svgcdn.io/twemoji/black-cat.svg,animals_icons/black-cat.svg
black-cat,https://files.svgcdn.io/openmoji/black-cat.svg,animals_icons/black-cat_2.svg
black-cat,https://files.svgcdn.io/noto/black-cat.svg,animals_icons/black-cat_3.svg
black-cat,https://files.svgcdn.io/fluent-emoji/black-cat.svg,animals_icons/black-cat_4.svg
black-cat,https://files.svgcdn.io/fluent-emoji-high-contrast/black-cat.svg,animals_icons/black-cat_5.svg
black-cat,https://files.svgcdn.io/fluent-emoji-flat/black-cat.svg,animals_icons/black-cat_6.svg
blackbird,https://files.svgcdn.io/fluent-emoji/blackbird.svg,animals_icons/blackbird.svg
blackbird,https://files.svgcdn.io/fluent-emoji-high-contrast/blackbird.svg,animals_icons/blackbird_2.svg
blackbird,https://files.svgcdn.io/fluent-emoji-flat/blackbird.svg,animals_icons/blackbird_3.svg
blossom,https://files.svgcdn.io/twemoji/blossom.svg,animals_icons/blossom.svg
blossom,https://files.svgcdn.io/streamline-emojis/blossom.svg,animals_icons/blossom_2.svg
blossom,https://files.svgcdn.io/openmoji/blossom.svg,animals_icons/blossom_3.svg
blossom,https://files.svgcdn.io/noto/blossom.svg,animals_icons/blossom_4.svg
blossom,https://files.svgcdn.io/noto-v1/blossom.svg,animals_icons/blossom_5.svg
blossom,https://files.svgcdn.io/fluent-emoji/blossom.svg,animals_icons/blossom_6.svg
blossom,https://files.svgcdn.io/fluent-emoji-high-contrast/blossom.svg,animals_icons/blossom_7.svg
blossom,https://files.svgcdn.io/fluent-emoji-flat/blossom.svg,animals_icons/blossom_8.svg
blowfish,https://files.svgcdn.io/twemoji/blowfish.svg,animals_icons/blowfish.svg
blowfish,https://files.svgcdn.io/streamline-emojis/blowfish.svg,animals_icons/blowfish_2.svg
blowfish,https://files.svgcdn.io/openmoji/blowfish.svg,animals_icons/blowfish_3.svg
blowfish,https://files.svgcdn.io/noto/blowfish.svg,animals_icons/blowfish_4.svg
blowfish,https://files.svgcdn.io/noto-v1/blowfish.svg,animals_icons/blowfish_5.svg
blowfish,https://files.svgcdn.io/fluent-emoji/blowfish.svg,animals_icons/blowfish_6.svg
blowfish,https://files.svgcdn.io/fluent-emoji-high-contrast/blowfish.svg,animals_icons/blowfish_7.svg
blowfish,https://files.svgcdn.io/fluent-emoji-flat/blowfish.svg,animals_icons/blowfish_8.svg
boar,https://files.svgcdn.io/twemoji/boar.svg,animals_icons/boar.svg
boar,https://files.svgcdn.io/openmoji/boar.svg,animals_icons/boar_2.svg
boar,https://files.svgcdn.io/noto/boar.svg,animals_icons/boar_3.svg
boar,https://files.svgcdn.io/noto-v1/boar.svg,animals_icons/boar_4.svg
boar,https://files.svgcdn.io/fluent-emoji/boar.svg,animals_icons/boar_5.svg
boar,https://files.svgcdn.io/fluent-emoji-high-contrast/boar.svg,animals_icons/boar_6.svg
boar,https://files.svgcdn.io/fluent-emoji-flat/boar.svg,animals_icons/boar_7.svg
boar-1,https://files.svgcdn.io/streamline-emojis/boar-1.svg,animals_icons/boar-1.svg
boar-2,https://files.svgcdn.io/streamline-emojis/boar-2.svg,animals_icons/boar-2.svg
bouquet,https://files.svgcdn.io/twemoji/bouquet.svg,animals_icons/bouquet.svg
bouquet,https://files.svgcdn.io/streamline-emojis/bouquet.svg,animals_icons/bouquet_2.svg
bouquet,https://files.svgcdn.io/openmoji/bouquet.svg,animals_icons/bouquet_3.svg
bouquet,https://files.svgcdn.io/noto/bouquet.svg,animals_icons/bouquet_4.svg
bouquet,https://files.svgcdn.io/noto-v1/bouquet.svg,animals_icons/bouquet_5.svg
bouquet,https://files.svgcdn.io/fluent-emoji/bouquet.svg,animals_icons/bouquet_6.svg
bouquet,https://files.svgcdn.io/fluent-emoji-high-contrast/bouquet.svg,animals_icons/bouquet_7.svg
